Status-Code-Exchange-CID-Name-Note
1-HSI-SHA-13414271-恒生指數: HANG SENG INDEX
1-SHA:000001-SHA-7521596-上证综合指数: SSE Composite Index
1-SHA:000012-SHA-2597133-国债指数: SSE Government Bond Index
1-SHA:000013-SHA-12480918-企债指数: SSE Corporate Bond Index
1-SHA:000016-SHA-3147530-上证50: SSE 50 Index
1-SHA:000010-SHA-3066127-上证180: SSE 180 Index
1-SHA:000300-SHA-1979150-沪深300: CSI 300 Index

1-SHA:000009-SHA-621688083906888-上证380: SSE 380 Index
1-SHE:399006-SHE-10893934-创业板指数: CHINEXT PRICE INDEX
1-SHE:399001-SHE-9692709-深证成指: SZSE COMPONENT INDEX

1-SHA:000038-CN/Topic-16386144-上证金融: SSE Financials Sector Index
1-SHA:000015-CN/Topic-1270931-红利指数: SSE Dividend Index
1-SHE:399809-CN/Topic-254153527718885-保险主题: INSURANCE THEME
1-SHA:000036-CN/Topic-12180555-上证消费: SSE Consumer Staples Sector Index
1-SHA:000037-CN/Topic-3216899-上证医药:SSE Health Care Sector Index

1-NYSEARCA:EWT-AP-702300-台湾指数ET iShares MSCI
1-NYSEARCA:EWA-AP-700242-澳大利亚指数ETF iShares MSCI
1-NYSEARCA:EWS-AP-702296-新加坡指数ETF iShares MSCI
1-NYSEARCA:RSX-AP-715851-俄罗斯ETF Market Vectors
1-NYSEARCA:EWM-AP-702294-马来西亚斯iShares MSCI Malaysia
1-NYSEARCA:VNM-AP-9836710-越南 Market Vectors Vietnam
1-NYSEARCA:THD-AP-5118830-泰国 iShares MSCI Thailand
1-NYSEARCA:EIDO-AP-15806599-印尼 iShares MSCI Indons

1-INDEXDJX:.DJI-AMERICAS-983582-道琼斯指数: Dow Jones Industrial Average
1-NYSEARCA:EWZ-AMERICAS-700262-巴西指数ETF iShares MSCI
1-NYSEARCA:IWV-AMERICAS-700342-iShares Russell 3000 Index (ETF)-FR免佣
1-NYSEARCA:DBC-AMERICAS-722064-大宗商品 (ETF)-FR免佣
1-NYSEARCA:VWO-AMERICAS-704805-新兴市场-FR免佣
1-NYSEARCA:FXI-AMERICAS-702691-中国港股-FR免佣
1-NYSEARCA:BLV-AMERICAS-730770-美国长期国债股-FR免佣
1-NYSEARCA:VIG-AMERICAS-710034-美国高红利ETF-FR免佣
1-NYSEARCA:IVV-AMERICAS-700314-美国标普500-FR免佣
1-NYSEARCA:IYW-AMERICAS-700230-美国科技ETF-FR免佣
1-NYSEARCA:VBK-AMERICAS-704696-美国小盘成长-FR免佣

1-NYSEARCA:USO-US/Topic-705740-美国石油基金: United States Oil Fund LP (ETF)
1-NYSEARCA:XOP-US/Topic-709310-SPDR S&P Oil & Gas Explore & Prod. (ETF)-类华宝油气
1-NYSEARCA:IAU-US/Topic-704797-黄金ETF iShares

1-NYSEARCA:FEZ-EU-702644-美丽的欧洲各国: EURO STOXX 50 Index-这个广泛代表欧洲
1-NYSEARCA:EFA-EU-700264-EAFE 指数ETF iShares MSCI
1-BMV:EZU-EU-176779958221483-EUROZONE 指数ETF iShares MSCI
1-NYSEARCA:IEV-EU-702288-EURO 指数ETF iShares MSCI
1-NYSEARCA:GREK-EU-241235835471811-美丽的希腊: Global X FTSE Greece 20 ETF
1-NYSEARCA:VGK-EU-704806-欧洲ETF Vanguard MSCI
1-BATS:EZU-EU-700267-欧盟国家ETF iShares MSCI
1-NYSEARCA:EWG-EU-700268-德国ETF iShares MSCI
1-NYSEARCA:EWU-EU-690329733247657-英国ETF iShares MSCI
